circuit_id,config_group,n_qubits,depth,two_qubit_ratio_target,zero_state_prob,robust_fidelity,expressibility_score,expressibility_entropy
168,q15_d6_r70,15,6,0.7,0.0703125,0.5078125,,
169,q15_d6_r90,15,6,0.9,0.4921875,0.9453125,,
170,q15_d7_r10,15,7,0.1,0.75,0.96875,,
171,q15_d7_r30,15,7,0.3,0.421875,0.96875,,
172,q15_d7_r50,15,7,0.5,0.40625,0.890625,,
173,q15_d7_r70,15,7,0.7,0.03125,0.3203125,,
174,q15_d7_r90,15,7,0.9,0.0078125,0.109375,,
175,q15_d8_r10,15,8,0.1,0.7734375,1.0,,
176,q15_d8_r30,15,8,0.3,0.59375,0.9453125,,
177,q15_d8_r50,15,8,0.5,0.0,0.046875,,
178,q15_d8_r70,15,8,0.7,0.078125,0.4765625,,
179,q15_d8_r90,15,8,0.9,0.0234375,0.3515625,,
180,q15_d9_r10,15,9,0.1,0.7109375,0.9765625,,
181,q15_d9_r30,15,9,0.3,0.1640625,0.734375,,
182,q15_d9_r50,15,9,0.5,0.03125,0.359375,,
183,q15_d9_r70,15,9,0.7,0.0,0.0234375,,
184,q15_d9_r90,15,9,0.9,0.0,0.1015625,,
185,q15_d10_r10,15,10,0.1,0.8828125,0.9921875,,
186,q15_d10_r30,15,10,0.3,0.5390625,0.953125,,
187,q15_d10_r50,15,10,0.5,0.0234375,0.1875,,
188,q15_d10_r70,15,10,0.7,0.0,0.046875,,
189,q15_d10_r90,15,10,0.9,0.0,0.046875,,
190,q15_d11_r10,15,11,0.1,0.7421875,0.96875,,
191,q15_d11_r30,15,11,0.3,0.03125,0.359375,,
192,q15_d11_r50,15,11,0.5,0.0078125,0.1015625,,
193,q15_d11_r70,15,11,0.7,0.0,0.046875,,
194,q15_d11_r90,15,11,0.9,0.0,0.0,,
195,q15_d12_r10,15,12,0.1,0.6015625,0.984375,,
196,q15_d12_r30,15,12,0.3,0.328125,0.8671875,,
197,q15_d12_r50,15,12,0.5,0.0,0.0234375,,
198,q15_d12_r70,15,12,0.7,0.0,0.0,,
199,q15_d12_r90,15,12,0.9,0.0,0.0078125,,
200,q15_d13_r10,15,13,0.1,0.625,0.96875,,
201,q15_d13_r30,15,13,0.3,0.0390625,0.453125,,
202,q15_d13_r50,15,13,0.5,0.0,0.0234375,,
203,q15_d13_r70,15,13,0.7,0.0,0.046875,,
204,q15_d13_r90,15,13,0.9,0.0,0.0390625,,
205,q15_d14_r10,15,14,0.1,0.2734375,0.859375,,
206,q15_d14_r30,15,14,0.3,0.0,0.03125,,
